Country,Subject,Measure,Year,Value
Denmark,GDP per hour worked,As % of the USA (USA=100),1976,75.403478
Denmark,GDP per hour worked,As % of the USA (USA=100),1977,77.373001
Denmark,GDP per hour worked,As % of the USA (USA=100),1978,78.96642299999999
Denmark,GDP per hour worked,As % of the USA (USA=100),1979,81.32077
Denmark,GDP per hour worked,As % of the USA (USA=100),1980,80.677463
Denmark,GDP per hour worked,As % of the USA (USA=100),1981,81.169352
Denmark,GDP per hour worked,As % of the USA (USA=100),1982,83.703473
Denmark,GDP per hour worked,As % of the USA (USA=100),1983,83.901418
Denmark,GDP per hour worked,As % of the USA (USA=100),1984,84.67248199999999
Denmark,GDP per hour worked,As % of the USA (USA=100),1985,85.246266
Denmark,GDP per hour worked,As % of the USA (USA=100),1986,85.16784399999999
Denmark,GDP per hour worked,As % of the USA (USA=100),1987,86.270356
Denmark,GDP per hour worked,As % of the USA (USA=100),1988,86.95809
Denmark,GDP per hour worked,As % of the USA (USA=100),1989,88.003128
Denmark,GDP per hour worked,As % of the USA (USA=100),1990,89.05342900000001
Denmark,GDP per hour worked,As % of the USA (USA=100),1991,90.199473
Denmark,GDP per hour worked,As % of the USA (USA=100),1992,88.70525500000001
Denmark,GDP per hour worked,As % of the USA (USA=100),1993,90.05601899999999
Denmark,GDP per hour worked,As % of the USA (USA=100),1994,95.000693
Denmark,GDP per hour worked,As % of the USA (USA=100),1995,96.20264399999999
Denmark,GDP per hour worked,As % of the USA (USA=100),1996,96.49146
Denmark,GDP per hour worked,As % of the USA (USA=100),1997,96.302933
Denmark,GDP per hour worked,As % of the USA (USA=100),1998,94.616118
Denmark,GDP per hour worked,As % of the USA (USA=100),1999,92.129605
Denmark,GDP per hour worked,As % of the USA (USA=100),2000,93.30248900000001
Denmark,GDP per hour worked,As % of the USA (USA=100),2001,90.98921800000001
Denmark,GDP per hour worked,As % of the USA (USA=100),2002,91.255801
Denmark,GDP per hour worked,As % of the USA (USA=100),2003,88.65973199999999
Denmark,GDP per hour worked,As % of the USA (USA=100),2004,90.673908
Denmark,GDP per hour worked,As % of the USA (USA=100),2005,88.757531
Denmark,GDP per hour worked,As % of the USA (USA=100),2006,91.095201
Denmark,GDP per hour worked,As % of the USA (USA=100),2007,91.28358100000001
Denmark,GDP per hour worked,As % of the USA (USA=100),2008,93.52552299999999
Denmark,GDP per hour worked,As % of the USA (USA=100),2009,92.082784
Denmark,GDP per hour worked,As % of the USA (USA=100),2010,96.986465
Denmark,GDP per hour worked,As % of the USA (USA=100),2011,97.43397900000001
Denmark,GDP per hour worked,As % of the USA (USA=100),2012,98.11374
Denmark,GDP per hour worked,As % of the USA (USA=100),2013,100.405742
Denmark,GDP per hour worked,As % of the USA (USA=100),2014,100.97325
Denmark,GDP per hour worked,As % of the USA (USA=100),2015,101.281758
Denmark,GDP per hour worked,As % of the USA (USA=100),2016,104.53965
Denmark,GDP per hour worked,As % of the USA (USA=100),2017,107.13065900000001
Denmark,GDP per hour worked,As % of the USA (USA=100),2018,108.29458999999999
Denmark,GDP per hour worked,As % of the USA (USA=100),2019,108.86093000000001
Denmark,GDP per person employed,As % of the USA (USA=100),1970,67.043904
Denmark,GDP per person employed,As % of the USA (USA=100),1971,67.142301
Denmark,GDP per person employed,As % of the USA (USA=100),1972,66.895921
Denmark,GDP per person employed,As % of the USA (USA=100),1973,67.288162
Denmark,GDP per person employed,As % of the USA (USA=100),1974,68.620639
Denmark,GDP per person employed,As % of the USA (USA=100),1975,67.621937
Denmark,GDP per person employed,As % of the USA (USA=100),1976,68.922626
Denmark,GDP per person employed,As % of the USA (USA=100),1977,69.61276
Denmark,GDP per person employed,As % of the USA (USA=100),1978,69.687841
Denmark,GDP per person employed,As % of the USA (USA=100),1979,71.301985
Denmark,GDP per person employed,As % of the USA (USA=100),1980,71.908209
Denmark,GDP per person employed,As % of the USA (USA=100),1981,71.58729100000001
Denmark,GDP per person employed,As % of the USA (USA=100),1982,74.681373
Denmark,GDP per person employed,As % of the USA (USA=100),1983,74.167675
Denmark,GDP per person employed,As % of the USA (USA=100),1984,73.896571
Denmark,GDP per person employed,As % of the USA (USA=100),1985,73.563198
Denmark,GDP per person employed,As % of the USA (USA=100),1986,74.450553
Denmark,GDP per person employed,As % of the USA (USA=100),1987,73.432576
Denmark,GDP per person employed,As % of the USA (USA=100),1988,72.347964
Denmark,GDP per person employed,As % of the USA (USA=100),1989,71.86974599999999
Denmark,GDP per person employed,As % of the USA (USA=100),1990,72.712212
Denmark,GDP per person employed,As % of the USA (USA=100),1991,73.83499300000001
Denmark,GDP per person employed,As % of the USA (USA=100),1992,73.679804
Denmark,GDP per person employed,As % of the USA (USA=100),1993,73.854875
Denmark,GDP per person employed,As % of the USA (USA=100),1994,74.902675
Denmark,GDP per person employed,As % of the USA (USA=100),1995,75.718486
Denmark,GDP per person employed,As % of the USA (USA=100),1996,75.642163
Denmark,GDP per person employed,As % of the USA (USA=100),1997,75.745517
Denmark,GDP per person employed,As % of the USA (USA=100),1998,74.525405
Denmark,GDP per person employed,As % of the USA (USA=100),1999,73.12633000000001
Denmark,GDP per person employed,As % of the USA (USA=100),2000,75.424656
Denmark,GDP per person employed,As % of the USA (USA=100),2001,74.61979699999999
Denmark,GDP per person employed,As % of the USA (USA=100),2002,75.096681
Denmark,GDP per person employed,As % of the USA (USA=100),2003,73.549212
Denmark,GDP per person employed,As % of the USA (USA=100),2004,75.12552
Denmark,GDP per person employed,As % of the USA (USA=100),2005,73.441484
Denmark,GDP per person employed,As % of the USA (USA=100),2006,75.64580699999999
Denmark,GDP per person employed,As % of the USA (USA=100),2007,74.97492199999999
Denmark,GDP per person employed,As % of the USA (USA=100),2008,77.22218000000001
Denmark,GDP per person employed,As % of the USA (USA=100),2009,76.869114
Denmark,GDP per person employed,As % of the USA (USA=100),2010,80.755117
Denmark,GDP per person employed,As % of the USA (USA=100),2011,81.195284
Denmark,GDP per person employed,As % of the USA (USA=100),2012,80.92195600000001
Denmark,GDP per person employed,As % of the USA (USA=100),2013,82.600169
Denmark,GDP per person employed,As % of the USA (USA=100),2014,82.084625
Denmark,GDP per person employed,As % of the USA (USA=100),2015,81.599738
Denmark,GDP per person employed,As % of the USA (USA=100),2016,84.794969
Denmark,GDP per person employed,As % of the USA (USA=100),2017,86.441501
Denmark,GDP per person employed,As % of the USA (USA=100),2018,85.709597
Denmark,GDP per person employed,As % of the USA (USA=100),2019,86.268896
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1970,120.092947
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1971,119.14409599999999
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1972,114.981412
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1973,110.37373600000001
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1974,108.547003
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1975,106.487101
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1976,106.47350800000001
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1977,101.731747
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1978,97.273386
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1979,95.91466199999999
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1980,97.468615
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1981,94.82842600000001
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1982,98.105814
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1983,96.96429300000001
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1984,94.206339
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1985,94.221017
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1986,96.362622
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1987,92.884163
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1988,89.19833
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1989,86.343726
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1990,85.807448
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1991,86.905343
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1992,87.907415
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1993,85.084096
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1994,82.391927
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1995,82.226271
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1996,82.070965
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1997,82.345586
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1998,83.15165400000001
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),1999,83.923546
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),2000,84.66170600000001
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),2001,87.270134
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),2002,88.40506500000001
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),2003,88.084532
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),2004,87.168587
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),2005,87.365107
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),2006,88.548115
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),2007,89.135293
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),2008,91.367769
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),2009,93.22495699999999
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),2010,91.690471
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),2011,91.501364
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),2012,88.609131
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),2013,87.761751
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),2014,86.27204300000001
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),2015,85.280984
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),2016,85.732258
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),2017,85.55573199999999
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),2018,83.928779
Denmark,Labour utilisation (hours worked per head of population),As % of the USA (USA=100),2019,84.107832
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1970,8022.95
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1971,8816.788
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1972,10281.898000000001
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1973,12514.888
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1974,15771.546999999999
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1975,18234.712
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1976,20698.999
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1977,22702.814
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1978,25107.391
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1979,29129.189
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1980,33657.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1981,38067.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1982,42803.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1983,47752.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1984,53460.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1985,58245.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1986,62693.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1987,67716.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1988,76723.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1989,85891.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1990,90959.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1991,86899.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1992,84782.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1993,85708.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1994,90749.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1995,98549.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1996,102083.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1997,110807.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1998,120474.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",1999,126916.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",2000,136442.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",2001,144628.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",2002,148486.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",2003,151749.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",2004,158758.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",2005,164687.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",2006,172897.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",2007,187072.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",2008,194265.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",2009,181747.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",2010,188143.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",2011,197998.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",2012,201037.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",2013,204321.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",2014,206897.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",2015,211385.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",2016,217518.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",2017,225933.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",2018,233662.0
Finland,Gross Domestic Product (GDP); millions,"National currency, current prices",2019,240557.0
Finland,GDP per head of population,"National currency, current prices",1970,1741.8475899999999
Finland,GDP per head of population,"National currency, current prices",1971,1911.705984
Finland,GDP per head of population,"National currency, current prices",1972,2215.926293
Finland,GDP per head of population,"National currency, current prices",1973,2682.144878
Finland,GDP per head of population,"National currency, current prices",1974,3362.086336
Finland,GDP per head of population,"National currency, current prices",1975,3870.3383280000003
Finland,GDP per head of population,"National currency, current prices",1976,4380.091627000001
Finland,GDP per head of population,"National currency, current prices",1977,4790.7349810000005
Finland,GDP per head of population,"National currency, current prices",1978,5282.986007
Finland,GDP per head of population,"National currency, current prices",1979,6113.5410409999995
Finland,GDP per head of population,"National currency, current prices",1980,7041.949995
Finland,GDP per head of population,"National currency, current prices",1981,7930.625
Finland,GDP per head of population,"National currency, current prices",1982,8867.59618
Finland,GDP per head of population,"National currency, current prices",1983,9834.012933
Finland,GDP per head of population,"National currency, current prices",1984,10950.878773999999
Finland,GDP per head of population,"National currency, current prices",1985,11881.400188
Finland,GDP per head of population,"National currency, current prices",1986,12747.143264
Finland,GDP per head of population,"National currency, current prices",1987,13729.648628
Finland,GDP per head of population,"National currency, current prices",1988,15510.563024000001
Finland,GDP per head of population,"National currency, current prices",1989,17301.385866999997
Finland,GDP per head of population,"National currency, current prices",1990,18241.416653
Finland,GDP per head of population,"National currency, current prices",1991,17332.309472
Finland,GDP per head of population,"National currency, current prices",1992,16815.152716999997
Finland,GDP per head of population,"National currency, current prices",1993,16916.942997
Finland,GDP per head of population,"National currency, current prices",1994,17834.836782
Finland,GDP per head of population,"National currency, current prices",1995,19293.82513
Finland,GDP per head of population,"National currency, current prices",1996,19920.188893000002
Finland,GDP per head of population,"National currency, current prices",1997,21558.620958
Finland,GDP per head of population,"National currency, current prices",1998,23377.122344
Finland,GDP per head of population,"National currency, current prices",1999,24569.935147
Finland,GDP per head of population,"National currency, current prices",2000,26359.491519
Finland,GDP per head of population,"National currency, current prices",2001,27877.409406
Finland,GDP per head of population,"National currency, current prices",2002,28551.705572000003
Finland,GDP per head of population,"National currency, current prices",2003,29109.725686
Finland,GDP per head of population,"National currency, current prices",2004,30365.709038999998
Finland,GDP per head of population,"National currency, current prices",2005,31392.272355
Finland,GDP per head of population,"National currency, current prices",2006,32830.829994
Finland,GDP per head of population,"National currency, current prices",2007,35372.019588999996
Finland,GDP per head of population,"National currency, current prices",2008,36561.335491000005
Finland,GDP per head of population,"National currency, current prices",2009,34042.03113
Finland,GDP per head of population,"National currency, current prices",2010,35079.054331
Finland,GDP per head of population,"National currency, current prices",2011,36745.91244
Finland,GDP per head of population,"National currency, current prices",2012,37132.803842
Finland,GDP per head of population,"National currency, current prices",2013,37565.912852
Finland,GDP per head of population,"National currency, current prices",2014,37875.881006999996
Finland,GDP per head of population,"National currency, current prices",2015,38570.385914
Finland,GDP per head of population,"National currency, current prices",2016,39582.552363
Finland,GDP per head of population,"National currency, current prices",2017,41017.573799
Finland,GDP per head of population,"National currency, current prices",2018,42359.232805
Finland,GDP per head of population,"National currency, current prices",2019,43566.538684
Finland,GDP per hour worked,"National currency, current prices",1970,1.832336
Finland,GDP per hour worked,"National currency, current prices",1971,2.063829
Finland,GDP per hour worked,"National currency, current prices",1972,2.404016
Finland,GDP per hour worked,"National currency, current prices",1973,2.896995
Finland,GDP per hour worked,"National currency, current prices",1974,3.648514
Finland,GDP per hour worked,"National currency, current prices",1975,4.401916
Finland,GDP per hour worked,"National currency, current prices",1976,5.051341000000001
Finland,GDP per hour worked,"National currency, current prices",1977,5.665144000000001
Finland,GDP per hour worked,"National currency, current prices",1978,6.306387
Finland,GDP per hour worked,"National currency, current prices",1979,7.2539229999999995
Finland,GDP per hour worked,"National currency, current prices",1980,8.233739
Finland,GDP per hour worked,"National currency, current prices",1981,9.194197
Finland,GDP per hour worked,"National currency, current prices",1982,10.316088
Finland,GDP per hour worked,"National currency, current prices",1983,11.611805
Finland,GDP per hour worked,"National currency, current prices",1984,12.987672
Finland,GDP per hour worked,"National currency, current prices",1985,14.132216
Finland,GDP per hour worked,"National currency, current prices",1986,15.415164
Finland,GDP per hour worked,"National currency, current prices",1987,16.416864
Finland,GDP per hour worked,"National currency, current prices",1988,18.495948000000002
Finland,GDP per hour worked,"National currency, current prices",1989,20.472027
Finland,GDP per hour worked,"National currency, current prices",1990,22.05229
Finland,GDP per hour worked,"National currency, current prices",1991,22.559635
Finland,GDP per hour worked,"National currency, current prices",1992,23.583853
Finland,GDP per hour worked,"National currency, current prices",1993,25.309727
Finland,GDP per hour worked,"National currency, current prices",1994,26.918561999999998
Finland,GDP per hour worked,"National currency, current prices",1995,28.54474
Finland,GDP per hour worked,"National currency, current prices",1996,29.111571
Finland,GDP per hour worked,"National currency, current prices",1997,30.634662
Finland,GDP per hour worked,"National currency, current prices",1998,32.852163
Finland,GDP per hour worked,"National currency, current prices",1999,33.909995
Finland,GDP per hour worked,"National currency, current prices",2000,35.956223
Finland,GDP per hour worked,"National currency, current prices",2001,37.852033
Finland,GDP per hour worked,"National currency, current prices",2002,38.575375
Finland,GDP per hour worked,"National currency, current prices",2003,39.451087
Finland,GDP per hour worked,"National currency, current prices",2004,41.031433
Finland,GDP per hour worked,"National currency, current prices",2005,42.209192
Finland,GDP per hour worked,"National currency, current prices",2006,43.630502
Finland,GDP per hour worked,"National currency, current prices",2007,46.272484999999996
Finland,GDP per hour worked,"National currency, current prices",2008,47.120418
Finland,GDP per hour worked,"National currency, current prices",2009,45.832236
Finland,GDP per hour worked,"National currency, current prices",2010,47.581757
Finland,GDP per hour worked,"National currency, current prices",2011,49.506419
Finland,GDP per hour worked,"National currency, current prices",2012,50.159372999999995
Finland,GDP per hour worked,"National currency, current prices",2013,51.632042
Finland,GDP per hour worked,"National currency, current prices",2014,52.578111
Finland,GDP per hour worked,"National currency, current prices",2015,53.862789
Finland,GDP per hour worked,"National currency, current prices",2016,55.176301
Finland,GDP per hour worked,"National currency, current prices",2017,56.935486
Finland,GDP per hour worked,"National currency, current prices",2018,57.552917
Finland,GDP per hour worked,"National currency, current prices",2019,58.517210999999996
Finland,GDP per person employed,"National currency, current prices",1970,3514.421397
Finland,GDP per person employed,"National currency, current prices",1971,3888.2534969999997
Finland,GDP per person employed,"National currency, current prices",1972,4493.105019
Finland,GDP per person employed,"National currency, current prices",1973,5368.131928
Finland,GDP per person employed,"National currency, current prices",1974,6742.453409999999
Finland,GDP per person employed,"National currency, current prices",1975,7831.009275
Finland,GDP per person employed,"National currency, current prices",1976,8971.181132
Finland,GDP per person employed,"National currency, current prices",1977,10021.63937
Finland,GDP per person employed,"National currency, current prices",1978,11187.530369
Finland,GDP per person employed,"National currency, current prices",1979,12701.619779999999
Finland,GDP per person employed,"National currency, current prices",1980,14260.836405000002
Finland,GDP per person employed,"National currency, current prices",1981,15869.184591999998
Finland,GDP per person employed,"National currency, current prices",1982,17733.355429
Finland,GDP per person employed,"National currency, current prices",1983,19844.574658
Finland,GDP per person employed,"National currency, current prices",1984,22143.981443
Finland,GDP per person employed,"National currency, current prices",1985,24010.635667
Finland,GDP per person employed,"National currency, current prices",1986,25943.720257
Finland,GDP per person employed,"National currency, current prices",1987,27744.499529
Finland,GDP per person employed,"National currency, current prices",1988,31332.135419
Finland,GDP per person employed,"National currency, current prices",1989,34679.614002999995
Finland,GDP per person employed,"National currency, current prices",1990,36849.376114
Finland,GDP per person employed,"National currency, current prices",1991,37268.516533
Finland,GDP per person employed,"National currency, current prices",1992,38960.525711
Finland,GDP per person employed,"National currency, current prices",1993,41786.358539
Finland,GDP per person employed,"National currency, current prices",1994,44980.916976
Finland,GDP per person employed,"National currency, current prices",1995,47869.529315
Finland,GDP per person employed,"National currency, current prices",1996,48761.882016
Finland,GDP per person employed,"National currency, current prices",1997,51190.520188
Finland,GDP per person employed,"National currency, current prices",1998,54567.442703
Finland,GDP per person employed,"National currency, current prices",1999,56324.501842
Finland,GDP per person employed,"National currency, current prices",2000,59327.767632
Finland,GDP per person employed,"National currency, current prices",2001,61925.925925999996
Finland,GDP per person employed,"National currency, current prices",2002,62800.71054
Finland,GDP per person employed,"National currency, current prices",2003,64029.113924
Finland,GDP per person employed,"National currency, current prices",2004,66635.047219
Finland,GDP per person employed,"National currency, current prices",2005,68083.426351
Finland,GDP per person employed,"National currency, current prices",2006,70157.847752
Finland,GDP per person employed,"National currency, current prices",2007,74267.338918
Finland,GDP per person employed,"National currency, current prices",2008,75439.788746
Finland,GDP per person employed,"National currency, current prices",2009,72414.93346100001
Finland,GDP per person employed,"National currency, current prices",2010,75417.08421900001
Finland,GDP per person employed,"National currency, current prices",2011,78121.128428
Finland,GDP per person employed,"National currency, current prices",2012,78649.896326
Finland,GDP per person employed,"National currency, current prices",2013,80545.984941
Finland,GDP per person employed,"National currency, current prices",2014,81916.696361
Finland,GDP per person employed,"National currency, current prices",2015,83756.63681699999
Finland,GDP per person employed,"National currency, current prices",2016,85799.147996
Finland,GDP per person employed,"National currency, current prices",2017,88193.067375
Finland,GDP per person employed,"National currency, current prices",2018,88976.80971799999
Finland,GDP per person employed,"National currency, current prices",2019,90116.50558200001
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1970,15624.636
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1971,16803.601000000002
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1972,18886.01
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1973,21312.185
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1974,23981.849
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1975,26676.138
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1976,28241.153
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1977,30067.721
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1978,33122.273
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1979,38424.949
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1980,44153.679000000004
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1981,48946.163
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1982,53564.927
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1983,57378.407999999996
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1984,61353.067
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1985,65518.867
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1986,68654.765
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1987,72845.616
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1988,79323.196
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1989,86598.112
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1990,90417.209
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1991,87948.3
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1992,86965.09199999999
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1993,88412.17599999999
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1994,93852.96699999999
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1995,99862.212
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1996,102757.489
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1997,111982.369
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1998,121501.462
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1999,127934.786
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2000,138695.219
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2001,144265.948
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2002,148763.802
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2003,151280.454
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2004,162980.219
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2005,168146.753
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2006,181230.99899999998
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2007,199908.458
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2008,212980.742
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2009,202924.177
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2010,209076.96399999998
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2011,220471.171
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2012,221285.63600000003
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2013,225679.983
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2014,228058.63600000003
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2015,232930.082
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2016,246903.551
Finland,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2017,261649.15300000002
